Functions,产品运行功能,活动执行功能,环境交互功能,用户支持功能,产品分析功能,活动分析功能,环境分析功能,用户分析功能,产品连接功能,用户连接功能
小憩,,,,,小憩,,小憩,,,
Wi-Fi,,,Wi-Fi,,,,,,Wi-Fi,Wi-Fi
恒温补偿,,,,,恒温补偿,,恒温补偿,恒温补偿,,
防直吹/柔风,,,,防直吹/柔风,,,防直吹/柔风,防直吹/柔风,,
语音,,,语音,,语音,,语音,语音,,语音
安静运转,安静运转,,,,安静运转,,安静运转,,,
除甲醛,,,除甲醛,,,,除甲醛,,,
风速调节按,,,,,风速调节按,,风速调节按,,,
定时开/关,定时开/关,,,,,,,,,
室内温度,,,室内温度,,,,,,,
静音,,,静音,,静音,,静音,,,
辅热运转,辅热运转,,,,辅热运转,,,,,
防直吹,,,,防直吹,,,防直吹,防直吹,,
停电补偿,停电补偿,,停电补偿,,,停电补偿,停电补偿,,,
用户连接功能,,,,,,,,,,用户连接功能
送风运转,送风运转,,,,送风运转,,送风运转,,,
除菌,除菌,,除菌,,除菌,,除菌,,,
风感,风感,,,,风感,,风感,风感,,
制热模式,制热模式,,,,,,制热模式,,,
屏显,,,,,,,屏显,,,
制冷模式,制冷模式,,,,,,制冷模式,,,
童锁,,,,,,,童锁,童锁,,
强力运转,强力运转,,,,强力运转,,,,,
瀑布风,瀑布风,,,,瀑布风,,瀑布风,,,
健康运转,,,,,,,健康运转,,,
强力/静音,,,,,,强力/静音,强力/静音,,,
PMV运转,,PMV运转,,,PMV运转,,PMV运转,PMV运转,,
运行模式,,运行模式,,,,,,,,
定时,,,,,,定时,定时,,,
NFC,,,,,,,NFC,,NFC,
上下摆风,,,,,,,上下摆风,,,
洗空气,,,,,,,洗空气,,,
语音控制,,,,,,,语音控制,,,
开关机按,,,,,,,开关机按,,,
除湿,,,,,,,除湿,,,
定位出风,,,,,,,定位出风,,,
HOME,,,,,HOME,,,,,
水离子运转,,,,,,,水离子运转,,水离子运转,
信号发射,信号发射,,,,信号发射,,,,,
设定温度,,,设定温度,,,,,,,
HOME运转,HOME运转,,,,,,,,,
环抱风,,,,,,,环抱风,,,
确定/取消,,,,,,,确定/取消,,,
产品连接功能,,,,,,,,,,产品连接功能
风速,风速,,,,,,风速,,,
应急运转,,,,,,,应急运转,,应急运转,
互联,,,,,,,互联,,,
PMV,,,,,PMV,,PMV,PMV,,
辅助电加热,,,辅助电加热,,,,辅助电加热,辅助电加热,,
定位送风,,,,,,,定位送风,,,
强力除湿,,,,,,,强力除湿,强力除湿,,
静眠,静眠,,,,静眠,,静眠,静眠,,
NFC ,,,,,,,NFC,,NFC,
风向设定,风向设定,,,,,,,,,
除湿运转,除湿运转,,,,除湿运转,,除湿运转,,除湿运转,
自清洁,,,,,,,自清洁,,,
儿童锁,儿童锁,,,,,,,,,
运动,,,,,,,运动,,,
风向调节,,,,,,,风向调节,,,
聪明风,,,,,,,聪明风,,,
复位,,,,,,,复位,,,
欢聚,,,,,,,欢聚,,,
温度,温度,,,,,温度,温度,,,
制热运转,制热运转,,,,,,制热运转,,制热运转,
上下风向,,,,,,,上下风向,,,
基本运转,,,,,,,基本运转,,基本运转,
光感,,,,,,,光感,,,
极速运转,,,,,极速运转,,,,,
灯光,,,,,,,灯光,,,
制冷运转,制冷运转,,,,,,制冷运转,,制冷运转,
极速,,,,,,,极速,,,
健康,,,,健康,,健康,,,,
温度调节按,,,,,,,温度调节按,,,
人体舒适智能控制系统,,,,,,,人体舒适智能控制系统,,,
左右摆风,,,,,,,左右摆风,,,
柔风,,,,,,,柔风,,,
辅热,,,,,,辅热,辅热,,,
静音运转,,,,,静音运转,,,,,
除霜,,,,,除霜,,除霜,除霜,,
场景,,,,场景,,,场景,场景,,
新风,,新风,,,,,新风,新风,,
智冷热,,,,,,,智冷热,,,
开机/关机,,,,,,,开机/关机,,,
健康气流,,,,,,,健康气流,,,
